Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","3","Albania","5419","Yield","515","Apples","2006","2006","hg/ha","50120","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2007","2007","hg/ha","51429","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2008","2008","hg/ha","69231","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2009","2009","hg/ha","94404","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2010","2010","hg/ha","141347","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2011","2011","hg/ha","185507","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2012","2012","hg/ha","191718","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2013","2013","hg/ha","197316","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2014","2014","hg/ha","212426","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2015","2015","hg/ha","228859","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2016","2016","hg/ha","240028","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2006","2006","hg/ha","37092","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2007","2007","hg/ha","38101","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2008","2008","hg/ha","34631","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2009","2009","hg/ha","35754","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2010","2010","hg/ha","35650","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2011","2011","hg/ha","32909","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2012","2012","hg/ha","33712","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2013","2013","hg/ha","33600","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2014","2014","hg/ha","33487","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2015","2015","hg/ha","33375","Fc","Calculated data"
"QC","Crops","80","Bosnia and Herzegovina","5419","Yield","515","Apples","2016","2016","hg/ha","33262","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2006","2006","hg/ha","98194","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2007","2007","hg/ha","105108","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2008","2008","hg/ha","89539","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2009","2009","hg/ha","113467","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2010","2010","hg/ha","135057","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2011","2011","hg/ha","152107","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2012","2012","hg/ha","62565","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2013","2013","hg/ha","226405","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2014","2014","hg/ha","162690","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2015","2015","hg/ha","176776","Fc","Calculated data"
"QC","Crops","98","Croatia","5419","Yield","515","Apples","2016","2016","hg/ha","72696","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2006","2006","hg/ha","217217","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2007","2007","hg/ha","190360","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2008","2008","hg/ha","193428","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2009","2009","hg/ha","197756","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2010","2010","hg/ha","203654","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2011","2011","hg/ha","205620","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2012","2012","hg/ha","199713","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2013","2013","hg/ha","192020","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2014","2014","hg/ha","257096","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2015","2015","hg/ha","233430","Fc","Calculated data"
"QC","Crops","84","Greece","5419","Yield","515","Apples","2016","2016","hg/ha","212380","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2006","2006","hg/ha","372921","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2007","2007","hg/ha","398106","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2008","2008","hg/ha","374593","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2009","2009","hg/ha","397922","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2010","2010","hg/ha","380778","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2011","2011","hg/ha","424059","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2012","2012","hg/ha","364149","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2013","2013","hg/ha","401086","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2014","2014","hg/ha","451858","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2015","2015","hg/ha","452048","Fc","Calculated data"
"QC","Crops","106","Italy","5419","Yield","515","Apples","2016","2016","hg/ha","437222","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2006","2006","hg/ha","51000","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2007","2007","hg/ha","42000","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2008","2008","hg/ha","38000","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2009","2009","hg/ha","38000","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2010","2010","hg/ha","36703","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2011","2011","hg/ha","36980","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2012","2012","hg/ha","37289","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2013","2013","hg/ha","37068","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2014","2014","hg/ha","36847","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2015","2015","hg/ha","36819","Fc","Calculated data"
"QC","Crops","134","Malta","5419","Yield","515","Apples","2016","2016","hg/ha","36816","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2006","2006","hg/ha","237500","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2007","2007","hg/ha","229759","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2008","2008","hg/ha","211412","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2009","2009","hg/ha","312717","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2010","2010","hg/ha","211600","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2011","2011","hg/ha","163642","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2012","2012","hg/ha","121377","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2013","2013","hg/ha","147251","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2014","2014","hg/ha","201212","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2015","2015","hg/ha","202662","Fc","Calculated data"
"QC","Crops","273","Montenegro","5419","Yield","515","Apples","2016","2016","hg/ha","316767","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2006","2006","hg/ha","163451","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2007","2007","hg/ha","168616","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2008","2008","hg/ha","172284","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2009","2009","hg/ha","209428","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2010","2010","hg/ha","171006","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2011","2011","hg/ha","197168","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2012","2012","hg/ha","171093","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2013","2013","hg/ha","210317","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2014","2014","hg/ha","197675","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2015","2015","hg/ha","232039","Fc","Calculated data"
"QC","Crops","174","Portugal","5419","Yield","515","Apples","2016","2016","hg/ha","167797","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2006","2006","hg/ha","100133","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2007","2007","hg/ha","98091","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2008","2008","hg/ha","102435","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2009","2009","hg/ha","100667","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2010","2010","hg/ha","99977","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2011","2011","hg/ha","99841","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2012","2012","hg/ha","99995","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2013","2013","hg/ha","193122","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2014","2014","hg/ha","141685","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2015","2015","hg/ha","149837","Fc","Calculated data"
"QC","Crops","272","Serbia","5419","Yield","515","Apples","2016","2016","hg/ha","138336","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2006","2006","hg/ha","384563","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2007","2007","hg/ha","398372","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2008","2008","hg/ha","358013","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2009","2009","hg/ha","351440","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2010","2010","hg/ha","425204","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2011","2011","hg/ha","385351","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2012","2012","hg/ha","204663","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2013","2013","hg/ha","349788","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2014","2014","hg/ha","392275","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2015","2015","hg/ha","466901","Fc","Calculated data"
"QC","Crops","198","Slovenia","5419","Yield","515","Apples","2016","2016","hg/ha","246577","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2006","2006","hg/ha","171859","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2007","2007","hg/ha","195431","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2008","2008","hg/ha","198347","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2009","2009","hg/ha","184007","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2010","2010","hg/ha","203042","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2011","2011","hg/ha","212735","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2012","2012","hg/ha","156480","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2013","2013","hg/ha","177403","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2014","2014","hg/ha","202051","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2015","2015","hg/ha","193220","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","515","Apples","2016","2016","hg/ha","194879","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2006","2006","hg/ha","88864","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2007","2007","hg/ha","108635","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2008","2008","hg/ha","116210","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2009","2009","hg/ha","89440","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2010","2010","hg/ha","89601","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2011","2011","hg/ha","95502","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2012","2012","hg/ha","95105","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2013","2013","hg/ha","95219","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2014","2014","hg/ha","95584","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2015","2015","hg/ha","96570","Fc","Calculated data"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5419","Yield","515","Apples","2016","2016","hg/ha","97354","Fc","Calculated data"
